"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0055082","intracellular chemical homeostasis",584,0.267262018671676,1.30996901104501,0.00790816128072999,0.0731024537993259,0.0613296869254877,2282,"tags=17%, list=12%, signal=15%","4495/4496/55630/4494/797/857/4493/6507/7351/23682/4499/664/1906/4502/2645/6505/5106/858/55647/50507/10345/5563/760/2950/64116/361/552900/30968/3932/55011/8992/4489/2512/581/5080/7447/10891/57158/8614/58515/90639/114/56943/26059/23657/1657/91942/794/205251/79901/567/3171/9472/10568/10539/6337/958/348/392862/9104/4842/84522/9633/468/3062/796/9446/64699/126306/5165/5538/6814/8804/169200/26234/785/9474/51027/801/495/5332/51463/6916/51382/25932/20/220002/286097/642489/572/6647/3123/2850/2729/489/84649/5798"
"GO:1902107","positive regulation of leukocyte differentiation",149,-0.330361406361106,-1.45312632784661,0.00800408613980545,0.07361556289133,0.0617601624886968,2932,"tags=23%, list=15%, signal=20%","55626/6599/10892/196528/3707/57178/9655/4192/3635/6604/29117/5196/5578/140685/2737/84807/8289/5591/6777/9092/133522/55193/558/50487/8943/6597/9580/6602/22985/57492/6605/2242/6666/3566/5530"
"GO:1903708","positive regulation of hemopoiesis",149,-0.330361406361106,-1.45312632784661,0.00800408613980545,0.07361556289133,0.0617601624886968,2932,"tags=23%, list=15%, signal=20%","55626/6599/10892/196528/3707/57178/9655/4192/3635/6604/29117/5196/5578/140685/2737/84807/8289/5591/6777/9092/133522/55193/558/50487/8943/6597/9580/6602/22985/57492/6605/2242/6666/3566/5530"
"GO:0060149","negative regulation of post-transcriptional gene silencing",11,-0.708738084646169,-1.74510845900429,0.00815106709958198,0.074511654413352,0.0625119431697264,2302,"tags=36%, list=12%, signal=32%","6774/103/7157/1994"
"GO:0060967","negative regulation of gene silencing by regulatory ncRNA",11,-0.708738084646169,-1.74510845900429,0.00815106709958198,0.074511654413352,0.0625119431697264,2302,"tags=36%, list=12%, signal=32%","6774/103/7157/1994"
"GO:1900369","negative regulation of post-transcriptional gene silencing by regulatory ncRNA",11,-0.708738084646169,-1.74510845900429,0.00815106709958198,0.074511654413352,0.0625119431697264,2302,"tags=36%, list=12%, signal=32%","6774/103/7157/1994"
"GO:0016570","histone modification",116,-0.346928396878272,-1.47025673522216,0.00812462696434704,0.074511654413352,0.0625119431697264,4328,"tags=37%, list=22%, signal=29%","6839/54934/56970/9757/22933/10943/8467/54554/2074/63978/51105/5931/4800/4802/56950/55929/55689/8473/5929/284058/10013/55869/112869/10498/57325/6885/55683/339287/84444/9759/29072/4297/10919/55167/1387/79885/23067/2033/29128/10336/11091/3054/9031"
"GO:0071514","genomic imprinting",16,-0.618916318534285,-1.68839906835977,0.00820664255707913,0.074792356031562,0.0627474392641744,3132,"tags=56%, list=16%, signal=47%","221656/9463/1788/8312/4692/10664/10336/1028/140690"
"GO:0032926","negative regulation of activin receptor signaling pathway",16,-0.618091216454798,-1.68614819608417,0.00820664255707913,0.074792356031562,0.0627474392641744,4452,"tags=62%, list=23%, signal=48%","408050/168002/4091/4092/23420/6497/10272/199699/10468/57154"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",48,0.457511012199639,1.5960883227208,0.0082341202010802,0.0749292481232941,0.0628622856023226,4595,"tags=38%, list=23%, signal=29%","29103/4706/4537/4697/4539/4536/4710/4712/4698/11315/4725/4709/4731/4713/4702/4723/4541/57017"
"GO:0032273","positive regulation of protein polymerization",85,-0.378157665741768,-1.5175954447804,0.00825283166371997,0.0749860762194496,0.0629099618315687,4275,"tags=38%, list=22%, signal=30%","89848/4868/3303/5879/253260/9793/55971/8440/4926/55626/51673/51429/28964/382/9530/64223/23332/4137/8851/29108/55243/5217/89795/23580/402/5216/148170/2242/1639/55755/4131/274"
"GO:0021872","forebrain generation of neurons",44,-0.461177080401362,-1.65034030807858,0.00831650856552566,0.0753370467193326,0.0632044103727489,3378,"tags=39%, list=17%, signal=32%","259266/8829/2263/538/8828/5361/55558/85358/57178/1638/3280/2737/5629/55681/26468/6656/2637"
"GO:0048041","focal adhesion assembly",84,-0.372498319442482,-1.49587792018575,0.00831650856552566,0.0753370467193326,0.0632044103727489,3894,"tags=36%, list=20%, signal=29%","5879/2824/55920/6714/1009/94/8829/87/23499/84962/7248/8874/25/596/23332/5747/9344/613/9475/1946/8861/9748/9647/6548/4088/7070/79834/3791/6422/10391"
"GO:1903651","positive regulation of cytoplasmic transport",15,-0.63722395186621,-1.70427074246291,0.00837498248204148,0.0756457178034323,0.063463371597262,3136,"tags=33%, list=16%, signal=28%","4133/23011/5071/25930/4478"
"GO:0031570","DNA integrity checkpoint signaling",131,-0.337788649450043,-1.4572367524286,0.00838610921147545,0.0756457178034323,0.063463371597262,5152,"tags=44%, list=26%, signal=32%","51347/675/83695/7508/51776/5781/9984/144715/988/9577/1017/197342/545/9575/672/29980/6419/2074/51149/26058/9656/57551/1407/81620/11073/51322/79858/63967/5371/83990/56658/26272/9675/4582/25896/1869/5514/79791/10116/8555/2177/5884/4193/51360/29086/29997/84444/5591/8914/9344/1112/4998/7158/7157/1386/3014/27339"
"GO:0002253","activation of immune response",409,-0.26125216906325,-1.29295816779527,0.00838831151702234,0.0756457178034323,0.063463371597262,4378,"tags=28%, list=22%, signal=22%","3984/8915/55269/26060/784/730/8890/10612/84433/22933/55765/3303/197358/6654/100/5170/55366/114609/257144/55914/3783/9867/26007/720/6714/9404/57787/948/23098/78989/3662/7706/10318/26057/715/7410/25/8780/673/8525/54900/10892/10451/79155/85363/5610/5295/3105/10614/4615/6197/25942/3635/5515/57724/25800/5594/596/5663/11120/56919/6397/90268/6885/84807/966/29997/728/51279/5819/121665/9473/79969/4669/81559/3665/5591/1452/5970/57506/29108/2534/331/975/1387/9564/5747/163486/65125/868/55666/85364/6421/80381/7301/5335/10432/9698/1654/1399/2033/7917/3843/710/3654/123920/2/1445/7070/153090/3988/28755/22900"
"GO:0034063","stress granule assembly",31,-0.511108815967745,-1.69578133373539,0.00840953438840626,0.0757235768656642,0.0635286918657731,2315,"tags=42%, list=12%, signal=37%","7072/4076/253943/9898/9802/51657/4137/1778/1153/23215/6311/1654/54915"
"GO:0042303","molting cycle",93,-0.369806190567413,-1.50442848399582,0.00844733004857888,0.0758368511077641,0.063623723885133,5144,"tags=42%, list=26%, signal=31%","135228/11005/8643/8717/1775/4089/54888/9575/3911/6654/55366/4851/2068/4926/2263/538/64434/6662/22943/25987/596/26133/4804/147495/2131/7474/4669/5970/84283/25836/6608/8861/5187/10468/4038/5154/1499/9079/3488"
"GO:0042633","hair cycle",93,-0.369806190567413,-1.50442848399582,0.00844733004857888,0.0758368511077641,0.063623723885133,5144,"tags=42%, list=26%, signal=31%","135228/11005/8643/8717/1775/4089/54888/9575/3911/6654/55366/4851/2068/4926/2263/538/64434/6662/22943/25987/596/26133/4804/147495/2131/7474/4669/5970/84283/25836/6608/8861/5187/10468/4038/5154/1499/9079/3488"
"GO:2001032","regulation of double-strand break repair via nonhomologous end joining",27,-0.530670831919952,-1.68062351737853,0.00850466486791312,0.0762377931154954,0.0639600962848467,5845,"tags=74%, list=30%, signal=52%","78996/25913/51111/55693/23347/10039/10459/11284/6419/2074/51149/84787/55183/158880/24144/84309/5591/7468/7155/8091"
"GO:0085029","extracellular matrix assembly",39,-0.494713584548615,-1.71349702476961,0.00852394982226213,0.0762969615787302,0.0640097359773256,5436,"tags=54%, list=27%, signal=39%","8985/79875/30008/10459/1605/7148/2824/4851/538/7046/6662/4629/23332/7837/11117/4239/7075/10266/4088/3038/60681"
"GO:0021513","spinal cord dorsal/ventral patterning",16,-0.616928112541724,-1.68297525734523,0.00854332243549455,0.0763567376664186,0.0640598854395259,2050,"tags=50%, list=10%, signal=45%","54567/8646/51684/2737/5992/55764/6608/6656"
"GO:0051258","protein polymerization",268,-0.280593953075068,-1.33142256725373,0.00856497312492759,0.076436666686112,0.0641269423097031,3894,"tags=31%, list=20%, signal=25%","59341/10565/89848/1729/4868/3303/54801/5879/7846/253260/9897/9793/136319/4134/27338/8936/84501/25959/10093/283/55971/8440/163782/114791/4133/4926/10810/85378/55626/51673/8874/25/51429/51652/28964/382/9530/157922/23271/91663/22954/64223/23332/4137/375189/199/7454/8851/1859/57580/22921/58526/29108/55243/5217/10382/7756/1003/118/89795/11078/5071/23580/64857/6711/25999/402/119/5216/148170/2258/2242/7283/2934/1639/55755/23354/1453/4131/9353/274/23406"
"GO:0014855","striated muscle cell proliferation",64,-0.415680473706847,-1.57513673365533,0.00859528325552327,0.0765935241214407,0.0642585386775494,3516,"tags=42%, list=18%, signal=35%","6714/4851/284/7049/2263/57190/9241/25/407975/2254/196528/7046/79647/3720/6497/10370/205428/94104/10413/5600/26281/26011/2303/2242/3836/5573/6910"
"GO:0072655","establishment of protein localization to mitochondrion",119,0.36008490136766,1.47951393092203,0.00863515769856648,0.0768350200545523,0.0644611429569102,4554,"tags=38%, list=23%, signal=29%","54543/83943/29103/51025/5898/9804/581/131474/1678/80273/706/26519/7855/59286/55811/3329/10456/10651/131118/58480/196294/7332/26517/4580/26520/56993/10425/3320/29928/3301/51100/7323/10134/3998/84709/29090/93974/100287932/4836/100652748/130916/140823/10440/665/27429"
"GO:0055086","nucleobase-containing small molecule metabolic process",543,0.261117642550575,1.27412733224107,0.00874736263904538,0.0777184435359793,0.0652022957188581,4356,"tags=31%, list=22%, signal=25%","978/27231/23597/7378/2645/7264/22978/7360/8802/7083/54981/27350/8050/2272/4879/4706/113278/139596/30968/5634/28992/9200/10157/79621/84693/353/4190/50484/51715/23057/4537/10891/8813/114/2079/4191/55757/706/204/23205/9061/6996/4539/2135/23483/2983/29789/4913/6120/55811/4536/1737/6785/4710/4712/4842/80347/11163/5901/132/79717/4521/1728/221443/952/22934/9556/1854/5165/11001/5538/4698/84532/785/2745/790955/5223/349565/5160/11315/80146/4354/6390/60490/122481/2181/6675/4725/79993/572/5635/6472/1740/4843/84649/8803/4709/201163/515/136332/6888/7040/64841/6296/2180/55312/10005/4731/3417/8654/7298/4199/60489/5631/526/3312/522/9582/1798/518/83594/55790/6391/51166/3620/2673/51181/10201/8622/6095/440672/111/130752/10840/128240/2639/5144/55022/4597/55711/4968/200316/2773/2326/954/1633/56474/93974/4713/55276/4860/7114/23583/64834/84833/54187/516/4702/509/3251/4723/2182/2618/55191/221264/3157"
"GO:1904948","midbrain dopaminergic neuron differentiation",14,-0.65102768904429,-1.72336318479364,0.00880164603090815,0.0780853995219948,0.0655101553674486,2155,"tags=50%, list=11%, signal=45%","8321/22943/7474/1454/1499/1453/6422"
"GO:0021871","forebrain regionalization",17,0.639815031164867,1.71517432436059,0.00882356067688002,0.0781645323585174,0.0655765442755799,1149,"tags=29%, list=6%, signal=28%","652/6496/5080/650/2016"
"GO:0046854","phosphatidylinositol phosphate biosynthetic process",64,-0.41389916602727,-1.56838682997325,0.00892907037298452,0.0787512584948708,0.0660687812441547,4388,"tags=42%, list=22%, signal=33%","54928/200576/57217/8395/375133/1154/5305/4952/266971/7405/30837/3707/56623/23049/5295/9655/8396/22863/129303/8835/9807/55361/5287/5297/3631/30849/8503"
"GO:0007044","cell-substrate junction assembly",94,-0.36346334199603,-1.48388284256368,0.00890909482405167,0.0787512584948708,0.0660687812441547,3894,"tags=35%, list=20%, signal=28%","5879/2824/55920/6714/1009/94/8829/87/23499/84962/1308/7248/8874/25/596/23332/3678/5747/9344/613/9475/1946/8861/9748/9647/6548/3655/4088/7070/79834/3791/6422/10391"
"GO:0043434","response to peptide hormone",369,-0.272719434544939,-1.33958379541504,0.00892351077894222,0.0787512584948708,0.0660687812441547,5033,"tags=37%, list=25%, signal=28%","4691/2475/890/2058/6569/5781/84275/9663/1605/25948/55198/5290/6773/847/55532/677/55667/3638/54741/4641/59341/26060/4048/4882/376497/3784/114814/28999/8890/5590/2200/1395/3480/5786/5925/83667/84706/6654/5170/5584/6772/89766/1537/6714/2740/9518/5305/64900/64710/132864/7049/3667/6720/1407/7248/112/1398/4149/3636/6599/673/55777/2549/7532/6667/83990/7442/655/51738/5295/6513/8473/64397/79746/6774/7076/5315/8396/10999/143686/6778/2887/7249/4142/5594/5578/8835/6339/10499/1509/4193/6198/6844/6885/55023/8648/6387/11132/5591/5970/9847/9852/9640/6777/55625/2932/9564/5747/22937/790/140710/9475/10014/2203/29988/57727/5770/2303/8805/2771/6938/57492/142/208/1408/6548/6431/5573/5167/4131/1445/8503/7425/5530/3488/5566"
"GO:0007276","gamete generation",604,-0.244115528479475,-1.25326313543209,0.00903702620143169,0.0795866948779087,0.0667696749782901,3638,"tags=25%, list=18%, signal=21%","84501/79173/157680/79084/63978/10766/27067/51087/30812/7257/6714/4851/10491/245711/285335/78995/3267/259266/84678/199223/283/11189/9444/23318/5806/221656/3010/4948/90853/5987/81629/64395/8239/3714/51465/51460/644890/1642/5104/83990/6477/9463/994/9148/7046/9425/6662/57178/84132/4192/84515/23424/5889/64847/5518/10732/5887/23064/89887/139886/51684/23139/4142/56262/10983/596/8287/1788/55231/286128/8085/2177/9130/55706/599/598/375189/811/9191/6198/54585/23291/11020/5727/55723/6498/2120/203523/65010/5819/10658/79969/5127/8879/7153/79925/80314/6522/55810/10919/6751/166378/9825/7073/22994/164091/25809/8312/135138/23157/4692/558/50487/7301/22887/22862/8672/22803/9698/10468/1654/1822/23598/668/1399/340719/63979/7917/7528/10664/10336/546/6196/8382/1028/4313/29781/1499/55339/644186/54890/3014/2119/140690/2649/4957/5566/3248/5050/90780/1912"
"GO:0034968","histone lysine methylation",31,-0.506773459712393,-1.68139728090116,0.00907561515769087,0.0798096859261851,0.0669567544874885,2417,"tags=39%, list=12%, signal=34%","56950/8473/5929/284058/55683/84444/29072/4297/10919/23067/11091/3054"
