"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5661231","Metallothioneins bind metals","4/68","11/11009",4.25234603079684e-07,0.000109710527594558,0.000101608689367461,"MT1E/MT1M/MT1G/MT1H",4
"R-HSA-5660526","Response to metal ions","4/68","14/11009",1.27197584431675e-06,0.000164084883916861,0.000151967640347317,"MT1E/MT1M/MT1G/MT1H",4
"R-HSA-8957275","Post-translational protein phosphorylation","5/68","108/11009",0.000528221243744739,0.0454270269620476,0.0420723587123003,"CCN1/AFP/SPP1/PRSS23/BMP4",5
